Rain,Moisture,X,Y,Z
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,169,182
0,0,76,170,182
0,0,76,169,182
0,0,76,169,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,169,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,183
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,76,170,182
0,0,84,168,195
0,0,84,168,196
0,0,83,168,195
0,0,83,168,195
0,0,83,168,195
0,0,84,168,195
0,0,83,168,195
0,0,84,167,195
0,0,83,167,195
